,rendement,volatilite,volume,skewness,kurtosis,ratio_sharpe,VaR
DH,0.2543991992229913,0.32431747371644715,3975.3900000000003,0.31427100576441463,5.20510231222393,0.5980438934351379,0.029926713381896952
ECYCL,-0.02953638227075639,0.28182682662590136,30.290000000000003,-0.262965231428674,7.029836082488124,-0.34410564360941726,0.02989096568480889
GIF,0.19628899929982788,0.30792330251429695,175.33,-1.6025622577696315,20.153434799011908,0.41996083277381113,0.02922912540327517
HANL,-0.0946880411434412,0.3448304457231889,11919.59,1.7100936461151763,12.724735245648173,-0.49778132232079975,0.030099502487562164
ICF,-0.04586666153662039,0.23120598621530883,550.55,-0.11984502123408743,3.8093980634140703,-0.43255997262324225,0.029104429300042936
LNDOR,0.07704538912376654,0.32891122544074963,50461.600000000006,0.15897721951332103,6.066675038478148,-0.01996757394167297,0.02916519027708883
LSTR,-0.1718009845769287,0.21673043996739674,2534.8600000000006,0.04613108614818807,5.68664074993013,-0.9570808980523986,0.02459562441646266
MGR,-0.22816042061232353,0.20376494196926412,2384.36,0.21428696063739888,5.732633676904869,-1.2288881698668395,0.02277861367762404
MIP,-0.036058938104176055,0.27300253565921373,969.14,0.08001204081116689,3.6675741776011788,-0.36853458881446144,0.028510494245091438
MNP,-0.10575213863048075,0.37508573797719524,3819.76,1.1423640612549555,7.97319332779592,-0.5077273767875342,0.030279697546174773
MPBS,0.4812397759898943,0.5176374787450692,78.19,-0.4554373900384334,11.900462711327187,0.7392679093347507,0.04343254144136149
NAKL,0.13005111074969417,0.3422444185700755,569.77,-0.3224416092922735,3.8508646429241957,0.12840414891878815,0.03567450655338543
NBL,-0.03704501822461855,0.20207561724340894,339.17,-2.3883934917965406,21.988279894420245,-0.42670832199034964,0.017094331758821867
OTH,-0.1426260308858443,0.19034969349421918,721.36,-0.41423453804661464,6.2954354251561995,-0.9380580249272851,0.02003260530500694
PLAST,0.20420823194326349,0.2760731298151976,964.7499999999999,-1.1861108058687209,27.54605701190465,0.5432084413168766,0.02567811934900544
PLTU,0.24658252900004057,0.2997590374110418,1263.54,0.19013800247552293,4.509770705219517,0.6458952898482044,0.02909510178117037
POULA,-0.1346408254910188,0.24917125624790903,113.4,-0.21979565406853158,5.401018742685995,-0.7334517854368574,0.02984590525819799
SAH,0.13977317595388658,0.22563633345657985,4157.9400000000005,0.31295722277499965,5.288123461086783,0.40435945072175833,0.020644853336123904
SAMAA,-0.0954616485718099,0.24320612012895415,3041.25,0.32230801841833534,4.05137809205531,-0.6061951078477255,0.028528505252407372
SCB,-0.09509161067910213,0.2396217466578451,534.87,-0.763496422842342,8.018189199065947,-0.6119331352339769,0.028073602907769273
SERVI,0.10412976839643656,0.23133902896557723,2757.2200000000003,1.0349033206804192,10.69068497905957,0.21948551821651313,0.02338421542759584
SFBT,0.17344049762154445,0.1612223091204391,210.32,2.413791572305743,30.29087331682132,0.8947118427719343,0.001922484687071035
SIAM,0.3200887757022388,1.1663585560657597,625.22,4.7995799736781715,59.72857303279527,-0.23081833955918338,0.019758243423117248
SIMP,-0.2818699445451703,0.2700303697128152,2145.4700000000003,0.3195593167829024,3.8826301506791823,-1.1208391617630284,0.028889475994132757
SIPHA,-0.6074787655362909,0.2877342568988934,864.8299999999999,-0.7170897783430995,9.264045803015462,-1.7655870886685725,0.038273411371237534
SITS,-0.03404621934459633,0.1615794924235021,496.16999999999996,-0.0293514577323349,6.673772991928741,-0.47028606268506434,0.019438159879336392
SMD,0.08833448859345167,0.5259511935434547,1292.1,2.0063228967403486,17.928994039985444,-0.13993869519005744,0.0422542735042734
SMG,-0.20147749821653646,0.34763380062411176,5957.0599999999995,-0.024480379146508132,3.241565895071458,-0.7493041971241712,0.03846153846153855
SOKNA,-0.19698679166440305,0.30823433649444953,219.17999999999998,-0.3976026997170588,6.75275376062576,-0.8018561984338302,0.029999999999999975
SOMOC,-0.2178770469216029,0.24707386499341819,101.48,-0.007348745169019993,5.045851290674358,-1.0119318068848153,0.029613034427542047
SOPAT,-0.01713008105741863,0.2578847926969285,14503.630000000001,0.300192649875965,4.06532394607618,-0.30623044904455865,0.02743993993993997
SOTE,-0.06889983694175805,0.28870899930286215,1378.9,0.429039471279498,3.469574883573034,-0.4656677210539141,0.0292397660818714
SOTEM,0.09888652256903865,0.2571286595311677,9058.45,0.25995977934578884,4.939150788305694,0.14863179491051218,0.028023050428331784
SPDI,0.19045106736217204,0.2509837163360113,6237.23,-0.012466675988338668,4.426182543887487,0.567070760439046,0.025652451830883084
STAR,-0.013531075586361116,0.09148738555827397,1016.4000000000001,0.2892662921202868,35.78654613238616,-0.5197236541426731,-0.0
STB,-0.0023680820268577652,0.08815117218865896,193.98999999999995,0.6111749958778095,116.92266848364656,-0.4109104700348798,-0.0
STEQ,-0.04052555261117061,0.33623179423947047,184.6,0.3334881580054435,5.249938585704182,-0.3634325256268232,0.030000000000000027
STPAP,0.06920131353297321,0.2605978329271862,3530.4700000000003,0.06364931604750716,3.574844616790019,0.02295218315166925,0.02790010874334663
STPIL,0.0835780316566829,0.17188020182390307,9814.43,-0.5122125231345193,7.22205647328403,0.2397031050108298,0.01635641853672583
STVR,-0.06394556171546403,0.1878178942590256,819.31,-0.5052434772109498,7.278195965017213,-0.577107655579055,0.021984225819842267
TAIR,-0.1606779006276375,0.24992956032980637,301.85,0.08664890531433957,6.09524829833971,-0.8187270525441561,0.028684480986639286
TGH,0.15484747528010148,0.31299570992811415,3817.2300000000005,-0.15453169902683594,5.643237818097034,0.26087591786051484,0.029110326566637274
TINV,-0.43597904743458654,0.27990363942537294,1774.96,0.23411133103000265,4.867820626634049,-1.4591360173472832,0.027776921595068428
TJL,0.20699451711265196,0.35887770173276085,277.03,-1.8123929164063357,18.973935462357115,0.33732814813800116,0.03180443548387101
TLNET,0.43489415455737407,0.6126309021641136,57.099999999999994,14.367447805579246,267.65416703218716,0.5059812810519064,-0.0
TLS,-0.34628037925518135,0.3719542329526326,2538.54,5.426297633961134,71.81542288979908,-0.986620458386183,0.02941176470588236
TPR,-0.04278475668497027,0.19368795198648367,6809.330000000001,-0.4176625328264565,12.31459422886287,-0.4632555451032798,0.022435897435897578
TRE,-0.14678091354359848,0.27915758474174995,1316.22,-0.27197617771039423,4.792439993304769,-0.7151246753168444,0.029291809271572582
TVAL,0.06312527705741629,0.21541527461159182,11005.9,-0.5233155024220979,6.2793838860815905,0.04952643972481937,0.020891304347826156
UADH,-0.13819274833188733,0.30635551395706345,781.2400000000001,0.2336227696629708,3.285135750069965,-0.6491670413216988,0.0297893390191898
UBCI,-0.20045582759845143,0.24704948691329148,3179.4399999999996,-0.02050949708592841,4.385246106947652,-0.9564742318950904,0.02799431350009668
UIB,0.03199963685432957,0.27549775023951206,874.4,0.37058113026977,5.045978049613632,-0.12956563913783112,0.02944611793983152
UMED,-0.6973821321704992,0.3832389389783626,611.74,-0.4134851386687283,5.469575871820674,-1.4826205100913592,0.04490474572387083
WIFAK,0.8487927151989982,0.3974960677872762,2785.25,0.43509893079397755,4.25140183118982,2.83981681832871,0.029787234042553346
XABYT,-0.13381139718462282,0.40061711990101473,6615.959999999999,0.6257510395977525,4.245742451367554,-0.5542295225168077,0.03807113938692893
